Ticker,Event,Subtitle,Bid,Ask,Last,Volume
KXMVESPORTSMULTIGAMEEXTENDED-S2025CD7C9401F93-37BA37E766B,"yes Kon Knueppel: 1+,yes LaMelo Ball: 2+,yes Miles Bridges: 1+,yes Tyrese Maxey: 2+,yes VJ Edgecombe: 1+,yes Kon Knueppel: 2+,yes LaMelo Ball: 4+,yes Miles Bridges: 2+,yes Tyrese Maxey: 6+,yes VJ Edgecombe: 2+,yes Kon Knueppel: 15+,yes Miles Bridges: 10+,yes Tyrese Maxey: 25+,yes VJ Edgecombe: 10+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025C5481FA8DA7-E13BE52D699,"yes Atlanta,yes Nickeil Alexander-Walker: 10+,yes VJ Edgecombe: 10+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025498BFA336C7-D7BD2466C63,"yes Hunter Henry: 3+,yes Kenneth Walker III: 2+,yes Kenneth Walker III: 60+,yes Seattle wins by over 5.5 points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025B0F3C8E2087-1EC2AF3B73D,"yes Kon Knueppel: 1+,yes LaMelo Ball: 2+,yes Miles Bridges: 1+,yes Tyrese Maxey: 2+,yes VJ Edgecombe: 1+,yes Kon Knueppel: 2+,yes LaMelo Ball: 4+,yes Miles Bridges: 2+,yes Tyrese Maxey: 6+,yes VJ Edgecombe: 2+,yes Kon Knueppel: 15+,yes Miles Bridges: 10+,yes Tyrese Maxey: 25+,yes VJ Edgecombe: 10+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+,yes Tyrese Maxey: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20257F537306860-F7FC51C570E,"yes Atlanta,yes Los Angeles L,yes Luka Dončić: 30+,yes LeBron James: 20+,yes LaMelo Ball: 15+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025CFA8517F777-897DE7B6867,"yes AJ Barner,yes Sam Darnold: 2+,yes Kenneth Walker III: 70+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20257794AA23DB9-6F374224D6E,"yes Stefon Diggs,yes Cooper Kupp,yes Kenneth Walker III,yes Rashid Shaheed,yes Over 45.5 points scored,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202560D726E3EAD-1AB632C0A59,"yes Jaxon Smith-Njigba,yes Kenneth Walker III,yes Drake Maye: 1+,yes Sam Darnold: 2+,yes Drake Maye: 200+,yes Sam Darnold: 200+,yes Hunter Henry: 30+,yes Kayshon Boutte: 20+,yes Rhamondre Stevenson: 20+,yes TreVeyon Henderson: 30+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20251F60AA1D270-466544DB016,"yes Drake Maye: 175+,yes Stefon Diggs: 30+,yes TreVeyon Henderson: 30+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20258264D38781B-15678949163,"yes Anthony Edwards: 20+,yes Kevin Durant: 20+,yes Donovan Mitchell: 25+,yes Tyrese Maxey: 25+,yes Jaylen Brown: 20+,yes Josh Giddey: 6+,yes Nikola Vučević: 6+",,0.0,0.0,0.0,0
