ITEMNMBR,ITEMDESC,CostToday,CostThen,Diff,AbsDiff,PctChange
GOLDCA30                       ,Dyna Gold Calcium 8.25% / Threshold Calcium / Neutra Soil / Grizzly Fortitude / Green CaLite         ,4.52533,3.67767,0.8476600000000003,0.8476600000000003,23.048832548869267
MAC1055YB                      ,Dyna Flo 10-5-5 yb                                                                                   ,312.0,312.8445,-0.8444999999999823,0.8444999999999823,-0.2699424154811679
GRO77955                       ,Dyna Gro Citrite 779                                                                                 ,4.8781,4.03481,0.8432899999999997,0.8432899999999997,20.90036457726633
MAC224YM                       ,Dyna Flo 2-2-4 YM                                                                                    ,134.54545,135.37549,-0.8300400000000252,0.8300400000000252,-0.6131390549352953
MAC626YM5                      ,Dyna Flo 6-2-6YM5                                                                                    ,292.0,291.17052,0.8294799999999896,0.8294799999999896,0.28487774105702374
MAC1226F                       ,Dyna Flo 12-2-6F                                                                                     ,144.5,145.321,-0.820999999999998,0.820999999999998,-0.5649562004115014
ZON183655                      ,Dyna Zone 18-3-6 / Green Magic / MAX 18-3-6 SLR / Pro Long / Green Gold / Hi Tech Line 18-3-6        ,5.58,6.38709,-0.8070899999999996,0.8070899999999996,-12.636270977863154
MAC526YM9                      ,Dyna Flo 5-2-6 YM9 +merge                                                                            ,332.0,332.8014,-0.801400000000001,0.801400000000001,-0.2408042754627838
MAC424YM                       ,Dyna Flo 4-2-4YM                                                                                     ,246.0,246.80041,-0.8004099999999994,0.8004099999999994,-0.32431469623571507
SO4NIDRY                       ,Nickel Sulfate 22%                                                                                   ,4.21818,3.41818,0.8000000000000003,0.8000000000000003,23.404267768227545
MAC526YP3                      ,Dyna Flo 5-2-6YP3                                                                                    ,324.0,324.79908,-0.7990800000000036,0.7990800000000036,-0.24602286435047893
MAC446YM1                      ,Dyna Flo 4-4-6YM1                                                                                    ,370.78932,370.0,0.7893199999999752,0.7893199999999752,0.213329729729723
MAC126YY                       ,Dyna Flo 1-2-6 YY                                                                                    ,148.87689,149.66548,-0.7885899999999992,0.7885899999999992,-0.526901727773164
MAC1224YF                      ,Dyna Flo 12-2-4YF                                                                                    ,151.2124,152.0,-0.7875999999999976,0.7875999999999976,-0.5181578947368405
MAC426YP11                     ,Dyna Flo 4-2-6YP11                                                                                   ,220.0,219.2208,0.779200000000003,0.779200000000003,0.3554407246027763
JRM50100                       ,JRM Boost 5-0-1                                                                                      ,10.26967,11.0484,-0.7787300000000013,0.7787300000000013,-7.0483508924369245
MAC927YM9                      ,Dyna Flo 9-2-7YM9                                                                                    ,334.0,333.24263,0.7573699999999803,0.7573699999999803,0.2272728432133609
MAC527YM                       ,Dyna Flo 5-2-7YM                                                                                     ,268.0,267.24401,0.755989999999997,0.755989999999997,0.2828837959735737
MAC526XG                       ,Dyna Flo 5-2-6XG                                                                                     ,136.0,135.24463,0.7553699999999992,0.7553699999999992,0.558521251453754
DYNABERRY00                    ,Dyna Berry                                                                                           ,3.79036,3.0475,0.7428600000000003,0.7428600000000003,24.376045939294514
MAC306CPS                      ,Dyna Flo  3-0-6                                                                                      ,103.6,102.85714,0.7428599999999932,0.7428599999999932,0.7222250200617994
MAC526SYM                      ,Dyna Flo 5-2-6 SYM                                                                                   ,202.0,202.73269,-0.732689999999991,0.732689999999991,-0.361406934421869
MAC828XHM                      ,Dyna Flo 8-2-8 XHM w/Merge                                                                           ,306.0,306.73163,-0.7316299999999956,0.7316299999999956,-0.23852447170185728
MAC526YZ                       ,Dyna Flo 5-2-6 YZ                                                                                    ,320.0,320.71388,-0.7138800000000174,0.7138800000000174,-0.2225909274646976
MAC525YZ                       ,Dyna Flo 5-2-5YZ                                                                                     ,150.713,150.0,0.7129999999999939,0.7129999999999939,0.4753333333333293
GRO77900                       ,Dyna Gro Citrite 779                                                                                 ,5.9276,6.6322,-0.7046000000000001,0.7046000000000001,-10.623925695847532
GRO779250                      ,Dyna Gro Citrite 779                                                                                 ,6.4276,7.1322,-0.7046000000000001,0.7046000000000001,-9.879139676397186
MAC606YF                       ,Dyna Flo 6-0-6YF                                                                                     ,146.0,146.7037,-0.7036999999999978,0.7036999999999978,-0.47967433677541726
JRM50102                       ,JRM Boost 5-0-1                                                                                      ,11.65383,12.3518,-0.6979700000000015,0.6979700000000015,-5.650755355494757
KEY44500                       ,Key Plex 445                                                                                         ,3.33333,4.03023,-0.6969000000000003,0.6969000000000003,-17.29181709232476
MAC428YM2                      ,Dyna Flo 4-2-8YM2                                                                                    ,260.0,260.68267,-0.6826699999999732,0.6826699999999732,-0.2618777842040567
0211-0214                      ,2.0228-0-0 Citrus Fert Mix-LiqFertNTB                                                                ,276.8249,277.5,-0.6750999999999863,0.6750999999999863,-0.24327927927927434
