ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
DELIVERY CHARGE TO CDI         ,Each     ,                                                                                                     ,25.0,73.86,44.544,5,2,195.44
NPKKTS                         ,LBS      ,Potassium Thiosulfate 0-0-25 17 KTS                                                                  ,0.14,0.40539,0.23735809523809523,63,5,189.5642857142857
GRPASCORBIC                    ,LBS      ,Ascorbic Acid Dry                                                                                    ,3.75,10.66973,6.908557999999999,5,2,184.52613333333332
NPK0030CDI                     ,LBS      ,Dyna Flo 0-0-30 Potassium Carbonate                                                                  ,0.31887,0.9,0.6063259999999999,5,2,182.2466836014677
ZZ30GAL                        ,EACH5    ,30 Gallon Drum                                                                                       ,9.0,25.0,15.357929242424243,66,3,177.77777777777777
NPKMKP                         ,LBS      ,Mono Potassium Phosphate                                                                             ,0.185,0.51,0.38642857142857145,7,3,175.67567567567568
SWITCH                         ,Each     ,                                                                                                     ,9.07,25.0,17.035,2,2,175.63395810363835
SUSPENSION LEVELING DEVICE     ,each     ,Replace Suspension Leveling Device                                                                   ,146.21,395.82,271.015,4,1,170.72019697695094
"2""QUICK COUPLING               ",Each     ,PART B                                                                                               ,3.029,8.164,5.288399999999999,15,1,169.52789699570815
MISC. FEES                     ,each     ,Miscelaneous Fees                                                                                    ,18.0,48.0,37.5,6,1,166.66666666666669
DISPOSAL FEE                   ,Each     ,                                                                                                     ,7.5,20.0,16.571428571428573,14,1,166.66666666666669
MISCDEFOAM                     ,LBS      ,Defoamer                                                                                             ,2.19067,5.785,3.353352142857143,14,1,164.07446123788614
BRASS FITTINGS                 ,Each     ,                                                                                                     ,9.9,26.08,17.99,2,2,163.43434343434342
ARTWORK PROOF                  ,Each     ,                                                                                                     ,85.0,223.86,154.43,2,1,163.36470588235298
SERVICE CALL                   ,Each     ,                                                                                                     ,95.0,250.0,141.66666666666666,12,4,163.1578947368421
"3"" FLANGE                      ",Each     ,                                                                                                     ,8.97,23.6,15.74475,4,3,163.09921962095873
"3"" VALVES                      ",Each     ,                                                                                                     ,70.18,183.65,123.0375,4,3,161.6842405243659
NO3MG63                        ,LBS      ,Magnesium Nitrate 6.3%                                                                               ,0.11116,0.29082,0.21983625,32,3,161.62288593019076
REPAIR SCALE                   ,Each     ,ALSO CALIBRATE                                                                                       ,365.43,944.81,656.6533333333333,3,1,158.547464630709
NEW 11R22.5                    ,Each     ,New 11r22.5                                                                                          ,348.72,901.32,532.9200000000001,3,1,158.46524432209222
NPKKCL62                       ,LBS      ,Muriate of Potash                                                                                    ,0.15214,0.39,0.18831454545454546,88,4,156.34284211910082
TRAVEL TIME                    ,each     ,Travel time to the job                                                                               ,90.0,230.0,195.0,8,2,155.55555555555557
CHECITRIC                      ,LBS      ,Citric Acid                                                                                          ,0.45,1.15,0.6087446808510638,47,9,155.55555555555554
"1"" BALL VALVE                  ",Each     ,                                                                                                     ,3.89,9.9,6.8950000000000005,2,1,154.4987146529563
NO3ZN                          ,LBS      ,Zinc Nitrate 17%                                                                                     ,0.2775,0.7,0.5794434782608696,92,3,152.25225225225222
HOSE CLAMPS                    ,Each     ,                                                                                                     ,16.13,40.31,28.22,2,2,149.90700557966525
DAVIDCOLE 3                    ,Each     ,Jesse Cole flat rate                                                                                 ,338.91,844.2,446.622,5,1,149.0926794724263
GRPSEAWEED                     ,LBS      ,Soluble Seaweed Extract                                                                              ,1.98,4.9318,4.439024,15,2,149.08080808080808
ZZ250GAL                       ,EACH5    ,250 Gallon IBC                                                                                       ,75.0,185.0,118.1504762,150,6,146.66666666666666
SO4MN32                        ,LBS      ,manganese sulfate 32%                                                                                ,0.215,0.53,0.36453370370370375,27,5,146.51162790697677
SPRAYER NOZZLES                ,Each     ,low anaylisis truck                                                                                  ,5.0,12.21,8.605,2,1,144.20000000000002
