Batch ID,Item Number,Site ID,Trx Date,Trx Qty,Unit Cost,Reason Code
YE_CLOSE_2025,NPK2800,MAIN,10/01/2025,217.99999999999636,0.51239,YE COUNT
YE_CLOSE_2025,NPK3011,MAIN,10/01/2025,25072.0,0.16038,YE COUNT
YE_CLOSE_2025,NPK600,MAIN,10/01/2025,1.0,0.41,YE COUNT
YE_CLOSE_2025,NPKACEK,MAIN,10/01/2025,30.11999999999989,0.66353,YE COUNT
YE_CLOSE_2025,NPKAGROTAIN,MAIN,10/01/2025,-473.0,6.85591,YE COUNT
YE_CLOSE_2025,NPKAQUA,MAIN,10/01/2025,485.0,0.23103,YE COUNT
YE_CLOSE_2025,NPKAS,MAIN,10/01/2025,-15.94210000000021,0.37014,YE COUNT
YE_CLOSE_2025,NPKATS,MAIN,10/01/2025,1292.0,0.27658,YE COUNT
YE_CLOSE_2025,NPKAVAIL,MAIN,10/01/2025,-3131.015,16.07126,YE COUNT
YE_CLOSE_2025,NPKAWAKENCON,MAIN,10/01/2025,6.0,0.0,YE COUNT
YE_CLOSE_2025,NPKKCL62,MAIN,10/01/2025,-0.38150999999197666,0.20725,YE COUNT
YE_CLOSE_2025,NPKKNO3,MAIN,10/01/2025,502.9294600000021,0.6015,YE COUNT
YE_CLOSE_2025,NPKKOHDRY,MAIN,10/01/2025,-442.5,0.66,YE COUNT
YE_CLOSE_2025,NPKKSIO2HI,MAIN,10/01/2025,-40.25,2.55627,YE COUNT
YE_CLOSE_2025,NPKKSO4,MAIN,10/01/2025,50.568899999999985,0.59352,YE COUNT
YE_CLOSE_2025,NPKKTS,MAIN,10/01/2025,576.10592,0.40422,YE COUNT
YE_CLOSE_2025,NPKNITRIC,MAIN,10/01/2025,-540.0,0.17,YE COUNT
YE_CLOSE_2025,NPKNPHURCDI,MAIN,10/01/2025,147.99999999999636,0.29286,YE COUNT
YE_CLOSE_2025,NPKPHOS75,MAIN,10/01/2025,8624.999999999942,0.43125,YE COUNT
YE_CLOSE_2025,NPKPHOS85,MAIN,10/01/2025,-2.0,0.47,YE COUNT
YE_CLOSE_2025,NPKPHOSDRYCDI,MAIN,10/01/2025,62.25,2.2,YE COUNT
YE_CLOSE_2025,NPKU32,MAIN,10/01/2025,-348.00000000001455,0.1925,YE COUNT
YE_CLOSE_2025,NPKUREA,MAIN,10/01/2025,1355.8600000000079,0.31,YE COUNT
YE_CLOSE_2025,OILCASTOR,MAIN,10/01/2025,-358.0,2.43,YE COUNT
YE_CLOSE_2025,OILCEDAR,MAIN,10/01/2025,-76.0,9.41,YE COUNT
YE_CLOSE_2025,OILCLOVE,MAIN,10/01/2025,-12.0,11.05,YE COUNT
YE_CLOSE_2025,OILROSEMARY,MAIN,10/01/2025,-42.0,34.52,YE COUNT
YE_CLOSE_2025,OMFISH+250,MAIN,10/01/2025,-8675.0,5.02381,YE COUNT
YE_CLOSE_2025,OXMG,MAIN,10/01/2025,-3428.625,0.35909,YE COUNT
YE_CLOSE_2025,OXMN,MAIN,10/01/2025,-21.90000000000009,4.81187,YE COUNT
YE_CLOSE_2025,OXZN,MAIN,10/01/2025,61.539999999997235,1.98745,YE COUNT
YE_CLOSE_2025,PALLET CHARGE,MAIN,10/01/2025,-69.0,14.5,YE COUNT
YE_CLOSE_2025,PETRO1300,MAIN,10/01/2025,-174066.08335,0.0,YE COUNT
YE_CLOSE_2025,PHURYMG02,MAIN,10/01/2025,-30.0,5.536,YE COUNT
