ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct
FERTAFL02                      ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.63058,         ,FertaFlow White Jugs & Vented Caps                                                                   ,1.05327,,0.4226899999999999,40.13121042087973
ZZ250GAL                       ,TERRAFEED      ,250 Gallon IBC                                                                                       ,75.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,50.0,40.0
ZZ2.5GAL                       ,SMITH CONTAINER,                                                                                                     ,1.5288,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,1.01763,39.963007033376144
ZZ2.5GAL                       ,PACK           ,                                                                                                     ,1.5288,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,1.01763,39.963007033376144
ZZ2.5GAL                       ,PACKAGESUPPLY  ,                                                                                                     ,1.5288,         ,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.54643,,1.01763,39.963007033376144
GRPFOLIC                       ,GRAYMORCHEM    ,Folic Acid Dry                                                                                       ,19.27787,         ,Folic Acid Dry                                                                                       ,32.0,,12.72213,39.75665625
FLO15001600                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,2.25,         ,pHury                                                                                                ,3.70352,,1.4535200000000001,39.24698665053787
LABOR CHARGES                  ,ALERTTIR       ,Labor Charges for Repair Work                                                                        ,115.0,         ,Labor Charges for Repair Work                                                                        ,187.5,,72.5,38.666666666666664
NO3CU                          ,SHEPHERD       ,Copper Nitrate 18%                                                                                   ,0.71,LBS      ,Copper Nitrate 14%                                                                                   ,1.14072,,0.43072,37.75860859807841
ZONN30250                      ,TESSENDE       ,                                                                                                     ,3.9617,         ,Dyna Zone N30 / Grizzly Nitro N-30 / JRM Triad 30 / GV N30                                           ,6.34407,,2.3823700000000003,37.552706700903364
FLO091802                      ,NACHRSAL       ,                                                                                                     ,4.0,         ,Dyna Flo 0-9-18                                                                                      ,6.398,,2.3979999999999997,37.48046264457643
BIA0252002                     ,BIAGROWE       ,                                                                                                     ,3.36274,         ,Nutri Phite Fungi-Phite                                                                              ,5.3045,9.07,1.94176,36.60590065039118
DYNASURF00                     ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,4.4289,         ,Dynasurf                                                                                             ,6.976,,2.5471000000000004,36.51232798165138
DYNASURF00                     ,PRODICAL       ,                                                                                                     ,4.4289,         ,Dynasurf                                                                                             ,6.976,,2.5471000000000004,36.51232798165138
ZZ5GALCAMO                     ,BOTTLECREW     ,5 Gallon Camo Pail                                                                                   ,3.45,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,1.96,36.22920517560074
LABOR CHARGES                  ,TAYLORSFORKLIFT,Labor Charges for Repair Work                                                                        ,120.0,         ,Labor Charges for Repair Work                                                                        ,187.5,,67.5,36.0
MICROBML02                     ,TESSENDE       ,                                                                                                     ,2.8342,         ,Vented Microbe Meal / Rootein                                                                        ,4.42632,,1.5921199999999995,35.969383144463116
GRPMERGE05                     ,ACETO          ,                                                                                                     ,1.80288,         ,Merge                                                                                                ,2.75,,0.94712,34.44072727272727
GRPMERGE05                     ,SCHWEIZE       ,                                                                                                     ,1.80288,         ,Merge                                                                                                ,2.75,,0.94712,34.44072727272727
GRPMERGE05                     ,PATHWAYBIO     ,Merge                                                                                                ,1.80288,         ,Merge                                                                                                ,2.75,,0.94712,34.44072727272727
